日付,時刻,種別,本文,リンク,出所
2026-11-22,,動画,リードα 第27章「交流と電気振動」全18問を公開,leadalpha/#ch27,auto:leadalpha
2026-11-15,,動画,リードα 第26章「電磁誘導」全19問を公開,leadalpha/#ch26,auto:leadalpha
2026-11-08,,動画,リードα 第25章「電流と磁場」全21問を公開,leadalpha/#ch25,auto:leadalpha
2026-11-01,,動画,リードα 第24章「直流回路」全26問を公開,leadalpha/#ch24,auto:leadalpha
2026-10-25,,動画,リードα 第23章「電流」全16問を公開,leadalpha/#ch23,auto:leadalpha
2026-10-18,,動画,リードα 第22章「コンデンサー」全25問を公開,leadalpha/#ch22,auto:leadalpha
2026-10-11,,動画,リードα 第21章「静電気力と電場・電位」全25問を公開,leadalpha/#ch21,auto:leadalpha
2026-10-04,,動画,リードα 第20章「光の干渉と回折」全13問を公開,leadalpha/#ch20,auto:leadalpha
2026-09-27,,動画,リードα 第19章「光の性質・レンズ」全24問を公開,leadalpha/#ch19,auto:leadalpha
2026-09-26,18:00,動画,重要問題集 問45「回転台上で物体がすべり出す条件」を公開,juyomon/2026/#q45,auto:juyomon
2026-09-25,18:00,動画,重要問題集 問44「棒でつながれた2物体の運動量保存」を公開,juyomon/2026/#q44,auto:juyomon
2026-09-24,18:00,動画,重要問題集 問43「円盤が円環に繰り返し衝突する運動」を公開,juyomon/2026/#q43,auto:juyomon
2026-09-23,18:00,動画,重要問題集 問42「上昇する板に繰り返し衝突する小球の運動」を公開,juyomon/2026/#q42,auto:juyomon
2026-09-22,18:00,動画,重要問題集 問41「曲面をもつ台上での小球の運動量保存」を公開,juyomon/2026/#q41,auto:juyomon
2026-09-21,18:00,動画,重要問題集 問40「小球が斜面と繰り返し衝突する運動」を公開,juyomon/2026/#q40,auto:juyomon
2026-09-20,,動画,リードα 第18章「ドップラー効果」全14問を公開,leadalpha/#ch18,auto:leadalpha
2026-09-19,18:00,動画,重要問題集 問39「小球が壁と繰り返し衝突する運動を反発係数で追う」を公開,juyomon/2026/#q39,auto:juyomon
2026-09-18,18:00,動画,重要問題集 問38「水平面上で衝突する2物体のエネルギー変化」を公開,juyomon/2026/#q38,auto:juyomon
2026-09-17,18:00,動画,重要問題集 問37「動く台車の上に乗る物体の運動量保存」を公開,juyomon/2026/#q37,auto:juyomon
2026-09-16,18:00,動画,重要問題集 問36「木材に撃ちこまれる弾丸の運動量とエネルギー」を公開,juyomon/2026/#q36,auto:juyomon
2026-09-16,19:00,動画,重要問題集 問36 別解「保存則を使わず運動方程式で押しきる」を公開,juyomon/2026/#q36,auto:juyomon-variant
2026-09-15,18:00,動画,重要問題集 問35「ばねにつながれた物体の運動とエネルギー」を公開,juyomon/2026/#q35,auto:juyomon
2026-09-14,18:00,動画,重要問題集 問34「液体中を落下する物体が水槽に及ぼす力」を公開,juyomon/2026/#q34,auto:juyomon
2026-09-13,,動画,リードα 第17章「音の伝わり方と発音体の振動」全25問を公開,leadalpha/#ch17,auto:leadalpha
2026-09-12,,機能,更新履歴の表示範囲を、直近7件から過去30件までスクロールで見られるようにした,#updates,manual
2026-09-12,18:00,動画,重要問題集 問33「空気抵抗を受ける物体の斜面上の運動」を公開,juyomon/2026/#q33,auto:juyomon
2026-09-11,18:00,動画,重要問題集 問32「ゴムひもにつながれた物体の運動」を公開,juyomon/2026/#q32,auto:juyomon
2026-09-10,18:00,動画,重要問題集 問31「ばねで押し出された物体の摩擦運動」を公開,juyomon/2026/#q31,auto:juyomon
2026-09-09,18:00,動画,重要問題集 問30「斜面台上を滑る小物体の運動を調べる」を公開,juyomon/2026/#q30,auto:juyomon
2026-09-08,18:00,動画,重要問題集 問29「あらい台上の物体と滑車でつながれた運動」を公開,juyomon/2026/#q29,auto:juyomon
2026-09-07,18:00,動画,重要問題集 問28「2物体があらい面を滑って止まる運動を比べる」を公開,juyomon/2026/#q28,auto:juyomon
2026-09-06,,動画,リードα 第16章「平面上を伝わる波」全10問を公開,leadalpha/#ch16,auto:leadalpha
2026-09-05,18:00,動画,重要問題集 問27「斜面上の物体と動く台の運動を滑車でつなぐ」を公開,juyomon/2026/#q27,auto:juyomon
2026-09-04,,ページ,進路情報に方式別の入試倍率ページを追加（早慶上理・MARCH）,shingaku/waseikeijo-rikei-baisu-2026/,manual
2026-09-04,18:00,動画,重要問題集 問26「斜面をもつ台と小球が一体で動く条件」を公開,juyomon/2026/#q26,auto:juyomon
2026-09-04,19:00,動画,重要問題集 問26 別解「運動量保存と力学的エネルギー保存が使える条件」を公開,juyomon/2026/#q26,auto:juyomon-variant
2026-09-03,,ページ,早慶上理 理系 理科科目の一覧ページを公開,shingaku/waseikeijo-rikei-2027/,manual
2026-09-03,,ページ,リードα 2024年改訂版に対応した索引を新設,leadalpha/2024/,manual
2026-09-03,,ページ,授業動画 全176本のインデックスを新設,jugyo/,manual
2026-09-03,,機能,スマホのホーム画面に追加して使えるようにした（PWA対応）,,manual
2026-09-03,18:00,動画,重要問題集 問25「斜面をもつ台上での物体の運動」を公開,juyomon/2026/#q25,auto:juyomon
2026-09-03,19:00,動画,重要問題集 問25 別解「重心の速度一定から内分点へ」を公開,juyomon/2026/#q25,auto:juyomon-variant
2026-09-02,,ページ,リードα 全650問のインデックスを新設,leadalpha/,manual
2026-09-02,,機能,リードαの索引を章題・分野でも絞り込めるようにした,leadalpha/,manual
2026-09-02,18:00,動画,重要問題集 問24「動く斜面上で糸につるされた小球の運動」を公開,juyomon/2026/#q24,auto:juyomon
2026-09-01,,ページ,MARCH 理系 理科科目の一覧ページを公開,shingaku/march-rikei-2027/,manual
2026-09-01,18:00,動画,重要問題集 問23「斜面上の運動を力学的エネルギーで追う」を公開,juyomon/2026/#q23,auto:juyomon
2026-08-31,18:00,動画,重要問題集 問22「複数の滑車と物体のつりあいと運動」を公開,juyomon/2026/#q22,auto:juyomon
2026-08-30,,ページ,過去問に大学一覧と共通テストのセクションを追加,kakomon/,manual
2026-08-30,,動画,リードα 第15章「正弦波の式」全9問を公開,leadalpha/#ch15,auto:leadalpha
2026-08-29,18:00,動画,重要問題集 問21「手で押す物体の運動方程式と等加速度運動」を公開,juyomon/2026/#q21,auto:juyomon
2026-08-28,18:00,動画,重要問題集 問20「上昇する気球とつるされた小球の運動」を公開,juyomon/2026/#q20,auto:juyomon
2026-08-27,18:00,動画,重要問題集 問19「つり上げられる箱の中の小球の相対運動」を公開,juyomon/2026/#q19,auto:juyomon
2026-08-26,18:00,動画,重要問題集 問18「斜面上で糸連結された物体の運動」を公開,juyomon/2026/#q18,auto:juyomon
2026-08-25,18:00,動画,重要問題集 問17「液体に浮かぶ棒のつりあいと浮力を調べる」を公開,juyomon/2026/#q17,auto:juyomon
2026-08-24,18:00,動画,重要問題集 問16「斜面上の直方体が倒れない条件を調べる」を公開,juyomon/2026/#q16,auto:juyomon
2026-08-23,,動画,リードα 第14章「波の性質」全20問を公開,leadalpha/#ch14,auto:leadalpha
2026-08-22,18:00,動画,重要問題集 問15「半円形の剛体にはたらく力のつりあい」を公開,juyomon/2026/#q15,auto:juyomon
2026-08-21,18:00,動画,重要問題集 問14「壁に立てかけた棒のつりあいを調べる」を公開,juyomon/2026/#q14,auto:juyomon
2026-08-20,18:00,動画,重要問題集 問13「糸でつるされた棒にはたらく力のつりあい」を公開,juyomon/2026/#q13,auto:juyomon
2026-08-19,18:00,動画,重要問題集 問12「くさび形の支柱で支えた棒のつりあい」を公開,juyomon/2026/#q12,auto:juyomon
